Object,Neighbor,Distance
5514,5565,13.479673
5515,5463,14.83991
5518,5523,14.847946
5518,5487,8.341412
5522,5472,12.648083
5523,5518,14.847946
5525,5571,9.999575
5526,5551,5.5261316
5527,5538,13.979226
5529,5577,7.865738
5533,5557,11.154715
5538,5483,12.295601
5538,5527,13.979226
5545,5586,11.272796
5551,5526,5.5261316
5552,5564,10.92391
5557,5571,13.382077
5557,5533,11.154715
5564,5552,10.92391
5565,5514,13.479673
5569,5574,14.017774
5571,5557,13.382077
5571,5525,9.999575
5574,5569,14.017774
5577,5529,7.865738
5586,5545,11.272796
5595,5654,14.571539
5595,5621,8.660287
5608,5667,14.2654705
5610,5611,13.211904
5611,5610,13.211904
5615,5632,6.5474453
5621,5595,8.660287
5621,5654,7.6787043
5623,5658,12.067518
5632,5615,6.5474453
5654,5621,7.6787043
5654,5595,14.571539
5658,5623,12.067518
5667,5608,14.2654705
5669,5688,14.9351635
5688,5669,14.9351635
5713,5747,14.670905
5723,5767,13.573901
5728,5776,14.58505
5730,5764,14.643803
5742,5793,14.839584
5743,5770,11.567653
5747,5713,14.670905
5749,5804,14.745794
5752,5791,14.651294
5764,5730,14.643803
5767,5788,13.963537
5767,5723,13.573901
5770,5743,11.567653
5776,5728,14.58505
5776,5791,11.066284
5788,5767,13.963537
5791,5776,11.066284
5791,5752,14.651294
5793,5742,14.839584
5804,5749,14.745794
5853,5905,14.769597
5861,5932,14.190771
5901,5938,10.185047
5902,5922,14.914209
5905,5853,14.769597
5907,5936,9.251624
5912,5942,7.7612295
5922,5902,14.914209
5932,5861,14.190771
5936,5907,9.251624
5938,5901,10.185047
5938,5976,10.370866
5940,5967,13.36202
5942,5912,7.7612295
5943,5967,12.901486
5955,5961,12.445369
5961,5998,13.416217
5961,5955,12.445369
5967,5940,13.36202
5967,5943,12.901486
5976,5938,10.370866
5998,5961,13.416217
6010,6057,12.260804
6057,6010,12.260804
6060,6107,12.576167
6078,6115,11.736612
6101,6105,13.675018
6105,6101,13.675018
6107,6060,12.576167
6115,6078,11.736612
6127,6151,7.6281195
6127,6148,10.393775
6127,6162,10.907025
6147,6182,12.780279
6148,6162,9.396591
6148,6127,10.393775
6148,6151,14.640679
6151,6148,14.640679
6151,6162,9.089829
6151,6127,7.6281195
6162,6151,9.089829
6162,6148,9.396591
6162,6127,10.907025
6178,6231,12.890945
6182,6147,12.780279
6202,6207,14.14038
6207,6202,14.14038
6231,6178,12.890945
6251,6285,10.898072
6264,6318,13.133836
6285,6251,10.898072
6289,6306,11.8511
6306,6289,11.8511
6317,6337,8.9012985
6318,6264,13.133836
6321,6328,10.520843
6328,6321,10.520843
6331,6369,14.895182
6337,6317,8.9012985
6346,6377,12.735594
6369,6331,14.895182
6377,6346,12.735594
6411,6415,14.947552
6415,6411,14.947552
6416,6431,10.774394
6418,6460,13.841699
6431,6416,10.774394
6438,6477,10.556637
6460,6418,13.841699
6461,6498,10.597726
6472,6523,13.670892
6477,6438,10.556637
